frase,situacao
sinto dor no peito e falta de ar,alto risco
estou com aperto no tórax desde ontem,alto risco
tenho suor excessivo e dor no peito,alto risco
sinto o coração acelerado e tontura,alto risco
estou com falta de ar e sensação de desmaio,alto risco
tenho palpitações e dificuldade para respirar,alto risco
tenho dor no peito ao fazer esforço,alto risco
percebi muito cansaço e falta de ar nos últimos dias,alto risco
estou com inchaço nas pernas e fadiga constante,alto risco
sinto um aperto no peito e suor frio,alto risco
tenho cansaço leve após caminhada,baixo risco
tive um leve incômodo nas costas,baixo risco
estou com um pouco de fadiga hoje,baixo risco
senti uma tontura leve ao levantar,baixo risco
estou cansado mas consegui seguir minha rotina,baixo risco
sinto um desconforto leve no peito,baixo risco
estou com fraqueza leve desde manhã,baixo risco
tive um mal-estar passageiro no fim da tarde,baixo risco
estou com dor muscular leve depois de caminhar,baixo risco
senti um pequeno incômodo no corpo hoje,baixo risco
